Fecha,Reservas
01/12/2015,0
02/12/2015,0
03/12/2015,0
04/12/2015,11
05/12/2015,24
06/12/2015,24
07/12/2015,24
08/12/2015,1
09/12/2015,0
10/12/2015,0
11/12/2015,4
12/12/2015,6
13/12/2015,2
14/12/2015,0
15/12/2015,0
16/12/2015,0
17/12/2015,2
18/12/2015,5
19/12/2015,5
20/12/2015,6
21/12/2015,6
22/12/2015,9
23/12/2015,9
24/12/2015,15
25/12/2015,18
26/12/2015,19
27/12/2015,12
28/12/2015,8
29/12/2015,2
30/12/2015,4
31/12/2015,21
01/01/2016,23
02/01/2016,22
03/01/2016,18
04/01/2016,14
05/01/2016,9
06/01/2016,9
07/01/2016,15
08/01/2016,24
09/01/2016,21
10/01/2016,12
11/01/2016,26
12/01/2016,17
13/01/2016,17
14/01/2016,14
15/01/2016,24
16/01/2016,22
17/01/2016,20
18/01/2016,27
19/01/2016,23
20/01/2016,25
21/01/2016,23
22/01/2016,27
23/01/2016,27
24/01/2016,23
25/01/2016,22
26/01/2016,24
27/01/2016,19
28/01/2016,26
29/01/2016,23
30/01/2016,20
31/01/2016,15
01/02/2016,16
02/02/2016,23
03/02/2016,20
04/02/2016,17
05/02/2016,18
06/02/2016,27
07/02/2016,27
08/02/2016,27
09/02/2016,17
10/02/2016,18
11/02/2016,15
12/02/2016,16
13/02/2016,21
14/02/2016,17
15/02/2016,17
16/02/2016,11
17/02/2016,9
18/02/2016,12
19/02/2016,22
20/02/2016,26
21/02/2016,13
22/02/2016,9
23/02/2016,7
24/02/2016,2
25/02/2016,4
26/02/2016,2
27/02/2016,6
28/02/2016,0
29/02/2016,2
01/03/2016,2
02/03/2016,0
03/03/2016,0
04/03/2016,0
05/03/2016,0
06/03/2016,0
07/03/2016,0
08/03/2016,0
09/03/2016,0
10/03/2016,0
11/03/2016,0
12/03/2016,0
13/03/2016,0
14/03/2016,0
15/03/2016,0
16/03/2016,0
17/03/2016,0
18/03/2016,0
19/03/2016,0
20/03/2016,0
21/03/2016,0
22/03/2016,2
23/03/2016,4
24/03/2016,27
25/03/2016,28
26/03/2016,28
27/03/2016,2
28/03/2016,0
29/03/2016,0
30/03/2016,0
31/03/2016,0
01/04/2016,0
02/04/2016,0
03/04/2016,0
04/04/2016,0
05/04/2016,0
06/04/2016,0
07/04/2016,0
08/04/2016,0
09/04/2016,0
10/04/2016,0
11/04/2016,0
12/04/2016,0
13/04/2016,0
14/04/2016,0
15/04/2016,0
16/04/2016,0
17/04/2016,0
18/04/2016,0
19/04/2016,0
20/04/2016,0
21/04/2016,0
22/04/2016,0
23/04/2016,0
24/04/2016,0
25/04/2016,0
26/04/2016,0
27/04/2016,0
28/04/2016,0
29/04/2016,0
30/04/2016,0
01/05/2016,0
02/05/2016,0
03/05/2016,0
04/05/2016,0
05/05/2016,0
06/05/2016,0
07/05/2016,0
08/05/2016,0
09/05/2016,0
10/05/2016,0
11/05/2016,0
12/05/2016,0
13/05/2016,0
14/05/2016,0
15/05/2016,0
16/05/2016,0
17/05/2016,0
18/05/2016,0
19/05/2016,0
20/05/2016,0
21/05/2016,0
22/05/2016,0
23/05/2016,0
24/05/2016,0
25/05/2016,0
26/05/2016,0
27/05/2016,0
28/05/2016,0
29/05/2016,0
30/05/2016,0
31/05/2016,0
01/06/2016,0
02/06/2016,0
03/06/2016,0
04/06/2016,0
05/06/2016,0
06/06/2016,0
07/06/2016,0
08/06/2016,0
09/06/2016,0
10/06/2016,0
11/06/2016,0
12/06/2016,0
13/06/2016,0
14/06/2016,0
15/06/2016,0
16/06/2016,0
17/06/2016,0
18/06/2016,0
19/06/2016,0
20/06/2016,0
21/06/2016,0
22/06/2016,0
23/06/2016,0
24/06/2016,0
25/06/2016,0
26/06/2016,0
27/06/2016,0
28/06/2016,0
29/06/2016,0
30/06/2016,0
01/07/2016,0
02/07/2016,0
03/07/2016,0
04/07/2016,0
05/07/2016,0
06/07/2016,0
07/07/2016,0
08/07/2016,0
09/07/2016,0
10/07/2016,0
11/07/2016,0
12/07/2016,0
13/07/2016,0
14/07/2016,0
15/07/2016,0
16/07/2016,0
17/07/2016,0
18/07/2016,0
19/07/2016,0
20/07/2016,0
21/07/2016,0
22/07/2016,0
23/07/2016,0
24/07/2016,0
25/07/2016,0
26/07/2016,0
27/07/2016,0
28/07/2016,0
29/07/2016,0
30/07/2016,0
31/07/2016,0
01/08/2016,0
02/08/2016,0
03/08/2016,0
04/08/2016,0
05/08/2016,0
06/08/2016,0
07/08/2016,0
08/08/2016,0
09/08/2016,0
10/08/2016,0
11/08/2016,0
12/08/2016,0
13/08/2016,0
14/08/2016,0
15/08/2016,0
16/08/2016,0
17/08/2016,0
18/08/2016,0
19/08/2016,0
20/08/2016,0
21/08/2016,0
22/08/2016,0
23/08/2016,0
24/08/2016,0
25/08/2016,0
26/08/2016,0
27/08/2016,0
28/08/2016,0
29/08/2016,0
30/08/2016,0
31/08/2016,0
01/09/2016,0
02/09/2016,0
03/09/2016,0
04/09/2016,0
05/09/2016,0
06/09/2016,0
07/09/2016,0
08/09/2016,0
09/09/2016,0
10/09/2016,0
11/09/2016,0
12/09/2016,0
13/09/2016,0
14/09/2016,0
15/09/2016,0
16/09/2016,0
17/09/2016,0
18/09/2016,0
19/09/2016,0
20/09/2016,0
21/09/2016,0
22/09/2016,0
23/09/2016,0
24/09/2016,0
25/09/2016,0
26/09/2016,0
27/09/2016,0
28/09/2016,0
29/09/2016,0
30/09/2016,0
01/10/2016,0
02/10/2016,0
03/10/2016,0
04/10/2016,0
05/10/2016,0
06/10/2016,0
07/10/2016,0
08/10/2016,0
09/10/2016,0
10/10/2016,0
11/10/2016,0
12/10/2016,0
13/10/2016,0
14/10/2016,0
15/10/2016,0
16/10/2016,0
17/10/2016,0
18/10/2016,0
19/10/2016,0
20/10/2016,0
21/10/2016,0
22/10/2016,0
23/10/2016,0
24/10/2016,0
25/10/2016,0
26/10/2016,0
27/10/2016,0
28/10/2016,0
29/10/2016,0
30/10/2016,0
31/10/2016,0
01/11/2016,0
02/11/2016,0
03/11/2016,0
04/11/2016,0
05/11/2016,0
06/11/2016,0
07/11/2016,0
08/11/2016,0
09/11/2016,0
10/11/2016,0
11/11/2016,0
12/11/2016,0
13/11/2016,0
14/11/2016,0
15/11/2016,0
16/11/2016,0
17/11/2016,0
18/11/2016,0
19/11/2016,0
20/11/2016,0
21/11/2016,0
22/11/2016,0
23/11/2016,0
24/11/2016,0
25/11/2016,0
26/11/2016,0
27/11/2016,0
28/11/2016,0
29/11/2016,0
30/11/2016,0
01/12/2016,0
02/12/2016,2
03/12/2016,7
04/12/2016,2
05/12/2016,2
06/12/2016,2
07/12/2016,2
08/12/2016,18
09/12/2016,19
10/12/2016,15
11/12/2016,0
12/12/2016,4
13/12/2016,6
14/12/2016,4
15/12/2016,2
16/12/2016,2
17/12/2016,9
18/12/2016,3
19/12/2016,3
20/12/2016,1
21/12/2016,0
22/12/2016,0
23/12/2016,5
24/12/2016,19
25/12/2016,2
26/12/2016,0
27/12/2016,2
28/12/2016,2
29/12/2016,7
30/12/2016,25
31/12/2016,29
01/01/2017,6
02/01/2017,10
03/01/2017,8
04/01/2017,5
05/01/2017,7
06/01/2017,12
07/01/2017,27
08/01/2017,18
09/01/2017,20
10/01/2017,20
11/01/2017,23
12/01/2017,23
13/01/2017,28
14/01/2017,26
15/01/2017,22
16/01/2017,23
17/01/2017,21
18/01/2017,16
19/01/2017,26
20/01/2017,25
21/01/2017,29
22/01/2017,26
23/01/2017,27
24/01/2017,28
25/01/2017,24
26/01/2017,19
27/01/2017,17
28/01/2017,33
29/01/2017,14
30/01/2017,8
31/01/2017,6
01/02/2017,12
02/02/2017,18
03/02/2017,17
04/02/2017,23
05/02/2017,25
06/02/2017,19
07/02/2017,21
08/02/2017,22
09/02/2017,19
10/02/2017,16
11/02/2017,19
12/02/2017,14
13/02/2017,4
14/02/2017,4
15/02/2017,8
16/02/2017,9
17/02/2017,14
18/02/2017,12
19/02/2017,12
20/02/2017,12
21/02/2017,8
22/02/2017,8
23/02/2017,8
24/02/2017,12
25/02/2017,25
26/02/2017,29
27/02/2017,23
28/02/2017,2
01/03/2017,6
02/03/2017,8
03/03/2017,4
04/03/2017,8
05/03/2017,4
06/03/2017,2
07/03/2017,0
08/03/2017,0
09/03/2017,0
10/03/2017,4
11/03/2017,2
12/03/2017,2
13/03/2017,0
14/03/2017,0
15/03/2017,0
16/03/2017,0
17/03/2017,0
18/03/2017,0
19/03/2017,0
20/03/2017,0
21/03/2017,0
22/03/2017,0
23/03/2017,0
24/03/2017,0
25/03/2017,9
26/03/2017,0
27/03/2017,2
28/03/2017,2
29/03/2017,2
30/03/2017,0
31/03/2017,0
01/04/2017,0
02/04/2017,0
03/04/2017,0
04/04/2017,0
05/04/2017,0
06/04/2017,0
07/04/2017,0
08/04/2017,0
09/04/2017,0
10/04/2017,0
11/04/2017,0
12/04/2017,0
13/04/2017,0
14/04/2017,0
15/04/2017,0
16/04/2017,0
17/04/2017,0
18/04/2017,0
19/04/2017,0
20/04/2017,0
21/04/2017,0
22/04/2017,0
23/04/2017,0
24/04/2017,0
25/04/2017,0
26/04/2017,0
27/04/2017,0
28/04/2017,0
29/04/2017,0
30/04/2017,0
01/05/2017,0
02/05/2017,0
03/05/2017,0
04/05/2017,0
05/05/2017,0
06/05/2017,0
07/05/2017,0
08/05/2017,0
09/05/2017,0
10/05/2017,0
11/05/2017,0
12/05/2017,0
13/05/2017,0
14/05/2017,0
15/05/2017,0
16/05/2017,0
17/05/2017,0
18/05/2017,0
19/05/2017,0
20/05/2017,0
21/05/2017,0
22/05/2017,0
23/05/2017,0
24/05/2017,0
25/05/2017,0
26/05/2017,0
27/05/2017,0
28/05/2017,0
29/05/2017,0
30/05/2017,0
31/05/2017,0
01/06/2017,0
02/06/2017,0
03/06/2017,0
04/06/2017,0
05/06/2017,0
06/06/2017,0
07/06/2017,0
08/06/2017,0
09/06/2017,0
10/06/2017,0
11/06/2017,0
12/06/2017,0
13/06/2017,0
14/06/2017,0
15/06/2017,0
16/06/2017,0
17/06/2017,0
18/06/2017,0
19/06/2017,0
20/06/2017,0
21/06/2017,0
22/06/2017,0
23/06/2017,0
24/06/2017,0
25/06/2017,0
26/06/2017,0
27/06/2017,0
28/06/2017,0
29/06/2017,0
30/06/2017,0
01/07/2017,0
02/07/2017,0
03/07/2017,0
04/07/2017,0
05/07/2017,0
06/07/2017,0
07/07/2017,0
08/07/2017,0
09/07/2017,0
10/07/2017,0
11/07/2017,0
12/07/2017,0
13/07/2017,0
14/07/2017,0
15/07/2017,0
16/07/2017,0
17/07/2017,0
18/07/2017,0
19/07/2017,0
20/07/2017,0
21/07/2017,0
22/07/2017,0
23/07/2017,0
24/07/2017,0
25/07/2017,0
26/07/2017,0
27/07/2017,0
28/07/2017,0
29/07/2017,0
30/07/2017,0
31/07/2017,0
01/08/2017,0
02/08/2017,0
03/08/2017,0
04/08/2017,0
05/08/2017,0
06/08/2017,0
07/08/2017,0
08/08/2017,0
09/08/2017,0
10/08/2017,0
11/08/2017,0
12/08/2017,0
13/08/2017,0
14/08/2017,0
15/08/2017,0
16/08/2017,0
17/08/2017,0
18/08/2017,0
19/08/2017,0
20/08/2017,0
21/08/2017,0
22/08/2017,0
23/08/2017,0
24/08/2017,0
25/08/2017,0
26/08/2017,0
27/08/2017,0
28/08/2017,0
29/08/2017,0
30/08/2017,0
31/08/2017,0
01/09/2017,0
02/09/2017,0
03/09/2017,0
04/09/2017,0
05/09/2017,0
06/09/2017,0
07/09/2017,0
08/09/2017,0
09/09/2017,0
10/09/2017,0
11/09/2017,0
12/09/2017,0
13/09/2017,0
14/09/2017,0
15/09/2017,0
16/09/2017,0
17/09/2017,0
18/09/2017,0
19/09/2017,0
20/09/2017,0
21/09/2017,0
22/09/2017,0
23/09/2017,0
24/09/2017,0
25/09/2017,0
26/09/2017,0
27/09/2017,0
28/09/2017,0
29/09/2017,0
30/09/2017,0
01/10/2017,0
02/10/2017,0
03/10/2017,0
04/10/2017,0
05/10/2017,0
06/10/2017,0
07/10/2017,0
08/10/2017,0
09/10/2017,0
10/10/2017,0
11/10/2017,0
12/10/2017,0
13/10/2017,0
14/10/2017,0
15/10/2017,0
16/10/2017,0
17/10/2017,0
18/10/2017,0
19/10/2017,0
20/10/2017,0
21/10/2017,0
22/10/2017,0
23/10/2017,0
24/10/2017,0
25/10/2017,0
26/10/2017,0
27/10/2017,0
28/10/2017,0
29/10/2017,0
30/10/2017,0
31/10/2017,0
01/11/2017,0
02/11/2017,0
03/11/2017,0
04/11/2017,0
05/11/2017,0
06/11/2017,0
07/11/2017,0
08/11/2017,0
09/11/2017,0
10/11/2017,0
11/11/2017,0
12/11/2017,0
13/11/2017,0
14/11/2017,0
15/11/2017,0
16/11/2017,0
17/11/2017,0
18/11/2017,0
19/11/2017,0
20/11/2017,0
21/11/2017,0
22/11/2017,0
23/11/2017,0
24/11/2017,0
25/11/2017,0
26/11/2017,0
27/11/2017,0
28/11/2017,0
29/11/2017,0
30/11/2017,0
01/12/2017,2
02/12/2017,4
03/12/2017,2
04/12/2017,0
05/12/2017,0
06/12/2017,2
07/12/2017,2
08/12/2017,4
09/12/2017,16
10/12/2017,2
11/12/2017,2
12/12/2017,2
13/12/2017,0
14/12/2017,6
15/12/2017,15
16/12/2017,16
17/12/2017,8
18/12/2017,5
19/12/2017,3
20/12/2017,13
21/12/2017,10
22/12/2017,8
23/12/2017,7
24/12/2017,7
25/12/2017,20
26/12/2017,18
27/12/2017,21
28/12/2017,7
29/12/2017,10
30/12/2017,22
31/12/2017,23
01/01/2018,25
02/01/2018,18
03/01/2018,27
04/01/2018,20
05/01/2018,15
06/01/2018,27
07/01/2018,15
08/01/2018,23
09/01/2018,23
10/01/2018,23
11/01/2018,19
12/01/2018,24
13/01/2018,26
14/01/2018,16
15/01/2018,16
16/01/2018,13
17/01/2018,10
18/01/2018,25
19/01/2018,24
20/01/2018,26
21/01/2018,24
22/01/2018,28
23/01/2018,24
24/01/2018,24
25/01/2018,22
26/01/2018,25
27/01/2018,27
28/01/2018,23
29/01/2018,18
30/01/2018,15
31/01/2018,12
01/02/2018,29
02/02/2018,29
03/02/2018,29
04/02/2018,23
05/02/2018,24
06/02/2018,22
07/02/2018,19
08/02/2018,28
09/02/2018,27
10/02/2018,28
11/02/2018,28
12/02/2018,28
13/02/2018,13
14/02/2018,8
15/02/2018,13
16/02/2018,24
17/02/2018,23
18/02/2018,9
19/02/2018,19
20/02/2018,18
21/02/2018,18
22/02/2018,21
23/02/2018,21
24/02/2018,22
25/02/2018,8
26/02/2018,6
27/02/2018,8
28/02/2018,13
01/03/2018,13
02/03/2018,13
03/03/2018,31
04/03/2018,2
05/03/2018,0
06/03/2018,0
07/03/2018,0
08/03/2018,0
09/03/2018,0
10/03/2018,0
11/03/2018,0
12/03/2018,0
13/03/2018,0
14/03/2018,3
15/03/2018,3
16/03/2018,5
17/03/2018,20
18/03/2018,8
19/03/2018,5
20/03/2018,4
21/03/2018,4
22/03/2018,4
23/03/2018,2
24/03/2018,7
25/03/2018,5
26/03/2018,0
27/03/2018,0
28/03/2018,5
29/03/2018,15
30/03/2018,20
31/03/2018,22
01/04/2018,0
02/04/2018,0
03/04/2018,0
04/04/2018,0
05/04/2018,0
06/04/2018,0
07/04/2018,0
08/04/2018,0
09/04/2018,0
10/04/2018,0
11/04/2018,0
12/04/2018,0
13/04/2018,0
14/04/2018,0
15/04/2018,0
16/04/2018,0
17/04/2018,0
18/04/2018,0
19/04/2018,0
20/04/2018,0
21/04/2018,0
22/04/2018,0
23/04/2018,0
24/04/2018,0
25/04/2018,0
26/04/2018,0
27/04/2018,0
28/04/2018,0
29/04/2018,0
30/04/2018,0
01/05/2018,0
02/05/2018,0
03/05/2018,0
04/05/2018,0
05/05/2018,0
06/05/2018,0
07/05/2018,0
08/05/2018,0
09/05/2018,0
10/05/2018,0
11/05/2018,0
12/05/2018,0
13/05/2018,0
14/05/2018,0
15/05/2018,0
16/05/2018,0
17/05/2018,0
18/05/2018,0
19/05/2018,0
20/05/2018,0
21/05/2018,0
22/05/2018,0
23/05/2018,0
24/05/2018,0
25/05/2018,0
26/05/2018,0
27/05/2018,0
28/05/2018,0
29/05/2018,0
30/05/2018,0
31/05/2018,0
01/06/2018,0
02/06/2018,0
03/06/2018,0
04/06/2018,0
05/06/2018,0
06/06/2018,0
07/06/2018,0
08/06/2018,0
09/06/2018,0
10/06/2018,0
11/06/2018,0
12/06/2018,0
13/06/2018,0
14/06/2018,0
15/06/2018,0
16/06/2018,0
17/06/2018,0
18/06/2018,0
19/06/2018,0
20/06/2018,0
21/06/2018,0
22/06/2018,0
23/06/2018,0
24/06/2018,0
25/06/2018,0
26/06/2018,0
27/06/2018,0
28/06/2018,0
29/06/2018,0
30/06/2018,0
01/07/2018,0
02/07/2018,0
03/07/2018,0
04/07/2018,0
05/07/2018,0
06/07/2018,0
07/07/2018,0
08/07/2018,0
09/07/2018,0
10/07/2018,0
11/07/2018,0
12/07/2018,0
13/07/2018,0
14/07/2018,0
15/07/2018,0
16/07/2018,0
17/07/2018,0
18/07/2018,0
19/07/2018,0
20/07/2018,0
21/07/2018,0
22/07/2018,0
23/07/2018,0
24/07/2018,0
25/07/2018,0
26/07/2018,0
27/07/2018,0
28/07/2018,0
29/07/2018,0
30/07/2018,0
